id,name,cost,rate_actual,num_ratings_actual,rate_all,nume_ratings_all,description,new_features,avg_last
0,iTunes U,Free,3.96491,57,4,,iTunes U provides everything an instructor needs to bring the classroom together on iPad—build lessons with apps and your own materials collect and grade assignments from students start class discussions or talk with students one-on-one to answer questions and provide feedback. iTunes U also allows anyone with an iPhone iPad or iPod touch to learn from the world’s largest collection of free education content—including public courses and collections from leading schools universities museums and cultural institutions. For Instructors: • Plan lessons grade assignments and stay connected—right from your iPad • Add your own teaching materials—including worksheets web links photos and videos from a variety of document providers • Engage every learner using apps books videos podcasts and more from iTunes App Store and iBooks • Add instructions or comments to PDFs and photos with built-in annotation tools • See when students have viewed or completed assignments and remind students of due assignments • Grade student work and track student progress in the grade book  • Use the single-student view for individual attention at parent-teacher conferences • Answer questions or provide video feedback in 1:1 chats or start class debates using group discussions • Keep students prepared and in the loop with notifications • Institutions using Apple School Manager and Managed Apple IDs can import rosters to streamline course creation • Teachers affiliated with qualified institutions can publish courses to the iTunes U catalog to make them available to anyone for free   For Students: • View assignments and updates in one place and check off assignments you’ve completed • Submit your work from any Apple creativity app many third-party apps or as annotated PDFs and photos for private courses • Open audio or video files directly in other apps • Ask instructors questions or have them review your work with one-on-one messages • Start or join group discussions with your class • View your grades and instructor feedback on all past assignments Browse the world’s largest catalog of free education content: • Choose from over 1 million free lectures videos books and other resources on thousands of subjects from leading educational and cultural institutions around the world • Share your favorite courses with friends using Twitter Facebook Mail and Messages • iTunes U includes materials from Stanford Yale MIT Oxford McGill University La Trobe University University of Tokyo Museo Nacional del Prado Smithsonian Libraries National Theatre Library of Congress and many more  Requirements: • Participating in courses requires iPhone iPad or iPod touch • Built-in PDF or photo annotation requires iPad (4th generation) or later iPad mini 2 or later • iTunes 12 or later is required to sync with a computer • Publishing public courses to iTunes U requires teachers to be affiliated with a qualified institution • 3D Touch requires iPhone 6s or iPhone 6s Plus or later,• Mark up photos with instructions or comments using built-in annotation tools • Quickly send video messages and feedback in 1:1 chats between teachers and students • Open audio or video files directly in other apps,4.0
1,Duolingo - Learn Spanish French and more,Free,3.6,40,4,,Duolingo is Apple's iPhone App of the Year! Duolingo is the world's most popular way to learn languages with over 200 million users. 23 languages to choose from. Super fun and free — Spanish French German Italian Portuguese Russian Irish Dutch Danish Swedish Turkish Norwegian Polish Hebrew Esperanto Vietnamese Ukrainian Welsh Greek Hungarian Romanian and Swahili. Oh and English too. "Far and away the best language-learning app." —The Wall Street Journal "Duolingo may hold the secret to the future of education." —TIME Magazine PC Magazine Editors' Choice for Language Learning: "Among iPhone apps for learning or practicing a language you can't beat Duolingo." "The most productive means of procrastination I’ve ever discovered. The short lesson blocks are painless and peppy and reaching the next level (and then the level after that) becomes addictive." —Slate Duolingo is changing the way people learn languages. With Duolingo you learn a language for free. You have fun while you learn leveling up and competing with friends. Yeah it's pretty sweet. -------------------------------------------- If you choose to purchase Duolingo Plus payment will be charged to your iTunes account and your account will be charged for renewal within 24-hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the iTunes Store after purchase. Current Duolingo Plus subscription price starts at $9.99 USD/month. Prices are in U.S. dollars may vary in countries other than the U.S. and are subject to change without notice. If you don’t choose to purchase Duolingo Plus you can simply continue using Duolingo for free. Privacy Policy: https://www.duolingo.com/privacy Terms of Service: https://www.duolingo.com/terms,We've introduced a shiny new stats bar! Now you can get cool stats such as your activity for the last 7 days — just tap the streak fluency and gems icons to see more. Stay tuned — we'll be adding more goodies soon.,3.0
